feature1,feature2,feature3,feature4,label
0.4967141530112327,7.798710873172004,A,X,1
-0.13826430117118466,6.849267365825538,A,X,1
0.6476885381006925,5.119260739840349,A,Y,1
1.5230298564080254,3.706126444588852,A,X,1
-0.23415337472333597,6.39644662722718,C,X,1
-0.23413695694918055,5.786970770843499,C,X,1
1.5792128155073915,6.790386440055465,A,X,1
0.7674347291529088,6.270343603363939,C,Y,1
-0.4694743859349521,7.09910543063867,B,X,1
0.5425600435859647,3.9295295768788643,A,X,1
-0.46341769281246226,7.634788131268651,A,X,1
-0.46572975357025687,5.395199209384799,B,X,1
0.24196227156603412,9.150521745250531,B,X,1
-1.913280244657798,3.6216243638208643,B,Y,0
-1.7249178325130328,8.4719276063305,A,X,1
-0.5622875292409727,5.395821566925296,A,X,1
-1.0128311203344238,3.6971639927711033,A,X,0
0.3142473325952739,4.032228331891357,A,Y,1
-0.9080240755212111,4.3593053836113596,A,X,0
-1.4123037013352917,5.848331892803833,A,Y,0
1.465648768921554,6.0456709760709995,C,Y,1
-0.22577630048653566,3.852599992122842,C,Y,1
0.06752820468792384,4.951290815478035,A,X,1
-1.4247481862134568,9.284540717223727,C,X,1
-0.5443827245251827,8.455086340201422,A,Y,1
0.11092258970986608,5.872647339348064,A,Y,1
-1.1509935774223028,5.076006956336401,A,Y,0
0.37569801834567196,5.240062653436523,B,X,1
-0.600638689918805,6.227035945460833,C,X,1
-0.2916937497932768,2.954414869603189,B,X,1
-0.6017066122293969,4.48524692515331,A,Y,0
1.8522781845089378,1.6628318522448202,B,X,1
-0.013497224737933914,5.798446245210559,A,X,1
-1.0577109289559,6.294391879405482,C,Y,1
0.822544912103189,4.033627075401252,B,X,1
-1.2208436499710222,8.147973526580065,A,Y,1
0.2088635950047554,2.548468673995318,B,X,1
-1.9596701238797756,2.07125023958036,B,X,0
-1.3281860488984305,5.448903637119944,A,X,0
0.19686123586912352,7.094196605224309,B,Y,1
0.7384665799954104,8.367855382915737,A,X,1
0.1713682811899705,4.0822314742621195,B,X,1
-0.11564828238824053,7.157361666862592,C,Y,1
-0.3011036955892888,4.922983060998585,C,X,1
-1.4785219903674274,4.654745400118361,B,X,0
-0.7198442083947086,6.767319874973345,B,X,1
-0.4606387709597875,6.304645756826839,A,X,1
1.0571222262189157,1.8472156860315012,B,Y,1
0.3436182895684614,7.9530806994517915,A,X,1
-1.763040155362734,7.760182708294903,A,X,0
0.324083969394795,3.748874596980941,A,X,1
-0.38508228041631654,5.791607066874818,A,Y,1
-0.6769220003059587,5.988060372565478,B,X,1
0.6116762888408679,5.521347531647814,A,X,1
1.030999522495951,3.8993896923091595,B,X,1
0.9312801191161986,3.656753264123897,A,X,1
-0.8392175232226385,4.9488918580171095,A,X,1
-0.3092123758512146,7.345458038518729,B,X,1
0.33126343140356396,6.087200309188865,A,Y,1
0.9755451271223592,4.258771335827788,A,X,1
-0.47917423784528995,6.54339742129669,B,Y,1
-0.18565897666381712,-0.6970852412601509,A,Y,0
-1.1063349740060282,7.297531400744207,C,X,1
-1.1962066240806708,1.5205724424438007,A,X,0
0.812525822394198,4.275118117193736,A,X,1
1.356240028570823,2.7606602107477123,B,Y,1
-0.07201012158033385,2.410637048558189,A,X,1
1.0035328978920242,7.321653574757038,A,X,1
0.36163602504763415,4.064597597376217,A,X,1
-0.6451197546051243,5.693007763461432,A,Y,1
0.36139560550841393,4.906158842241632,C,Y,1
1.5380365664659692,5.954081654446243,A,X,1
-0.03582603910995153,5.15364378212051,B,Y,1
1.564643655814006,2.4340155516228608,C,X,1
-2.6197451040897444,6.99253363889428,A,X,0
0.8219025043752238,4.012486833677375,C,Y,1
0.08704706823817134,1.886836202680498,A,X,1
-0.29900735046586785,4.143769678068175,C,X,1
0.0917607765355023,8.00151958126862,A,X,1
-1.9875689146008928,6.7004434842269855,B,Y,0
-0.21967188783751193,4.302695731184282,A,Y,1
0.3571125715117464,4.301484591363143,A,Y,1
1.477894044741516,4.356729897565235,B,Y,1
-0.5182702182736474,9.153495967121682,B,X,1
-0.8084936028931876,5.763870904463107,A,X,1
-0.5017570435845365,5.8600832943821395,A,X,1
0.9154021177020741,7.060566908063684,B,X,1
0.32875110965968446,5.477578318053027,B,X,1
-0.5297602037670388,4.481915708358594,C,Y,1
0.5132674331133561,4.607300301830043,B,X,1
0.09707754934804039,4.856797481171872,C,X,1
0.9686449905328892,4.925555526980316,B,X,1
-0.7020530938773524,6.4552590872739595,A,X,1
-0.3276621465977682,5.103891771614599,A,Y,1
-0.39210815313215763,6.465280154431158,B,X,1
-1.4635149481321186,4.838566839782835,B,X,0
0.29612027706457605,5.157270380632181,A,Y,1
0.26105527217988933,1.0035986309357847,A,X,1
0.0051134566424609,6.832655349404963,C,X,1
-0.23458713337514742,5.692976951795986,B,X,1
-1.4153707420504142,6.996020219719305,A,X,1
-0.42064532276535904,-0.7925107563873786,A,Y,0
-0.3427145165267695,9.176749409561456,A,Y,1
-0.8022772692216189,4.720820743689653,A,X,1
-0.16128571166600914,7.216365633475033,A,Y,1
0.4040508568145384,2.9201881457489383,A,X,1
1.8861859012105302,6.225547810125139,B,X,1
0.17457781283183896,2.8931688736526877,A,X,1
0.257550390722764,3.7524620786083895,C,X,1
-0.0744459157661671,8.828062707733572,C,X,1
-1.9187712152990415,4.6186351984733065,A,Y,0
-0.026513875449216878,5.434865746359446,B,Y,1
0.06023020994102644,6.740135461377507,A,X,1
2.463242112485286,5.991363775945209,C,X,1
-0.19236096478112252,5.3008378102871525,A,X,1
0.30154734233361247,5.72992200493245,B,X,1
-0.03471176970524331,9.80683117047655,B,X,1
-1.168678037619532,4.884762405932829,A,X,1
1.1428228145150205,5.402198093429935,A,Y,1
0.7519330326867741,7.1013087920152245,B,X,1
0.7910319470430469,7.211051865915968,B,X,1
-0.9093874547947389,7.37406061112076,A,X,1
1.4027943109360992,6.277460444058369,B,X,1
-1.4018510627922809,2.713990174539033,A,X,0
0.5868570938002703,8.266863064602191,B,Y,1
2.1904556258099785,2.707309213962624,A,X,1
-0.9905363251306883,5.605270930478066,C,Y,1
-0.5662977296027719,3.4914482999612844,A,X,1
0.09965136508764122,4.871723306814014,A,X,1
-0.5034756541161992,5.6575248206069615,A,X,1
-1.5506634310661327,5.642714430900546,A,Y,0
0.06856297480602733,5.84384150847057,B,X,1
-1.0623037137261049,8.227422538117294,A,Y,0
0.4735924306351816,5.90706860302796,C,X,1
-0.9194242342338034,4.511686729418702,A,Y,0
1.5499344050175399,6.928174336576715,A,X,1
-0.7832532923362371,7.378940977849281,A,Y,1
-0.3220615162056756,2.544784369726015,A,X,1
0.8135172173696698,6.194800139699716,A,Y,1
-1.2308643164339552,6.402345484621796,A,X,0
0.22745993460412942,4.404872993280016,A,X,1
1.307142754282428,7.75141362662324,A,X,1
-1.6074832345612275,4.699888825934946,B,Y,0
0.1846338585323042,5.251152906943085,B,X,1
0.2598827942484235,4.65385635143226,A,Y,1
0.78182287177731,5.031158095162935,A,X,1
-1.236950710878082,2.8074498262095964,C,X,0
-1.3204566130842763,2.1198982348114113,B,X,0
0.5219415656168976,8.189010126449944,B,Y,1
0.29698467323318606,3.3060773033633444,A,Y,1
0.25049285034587665,3.0172153010873854,B,Y,1
0.34644820949697586,0.6932197727925704,B,X,1
-0.6800247215784908,3.722076504620995,B,Y,1
0.23225369716100355,2.353820413185003,C,Y,1
0.29307247329868125,8.284030320272738,A,X,1
-0.7143514180263678,7.019634178685268,A,Y,1
1.8657745111447566,3.6236993096445524,B,Y,1
0.4738329209117875,9.504871610688618,C,Y,1
-1.1913034972026486,6.963530973983189,A,Y,1
0.6565536086338297,4.350337232982755,A,X,1
-0.9746816702273214,0.0011885702528546815,A,X,0
0.787084603742452,9.581885145181483,A,Y,1
1.158595579007404,2.220855066472808,B,X,1
-0.8206823183517105,1.7092025060862164,B,Y,0
0.9633761292443218,7.045140864019281,A,Y,1
0.4127809269364983,9.879504812678546,A,Y,1
0.82206015999449,7.768545637021036,A,Y,1
1.8967929826539474,6.12781824010472,A,X,1
-0.2453881160028705,6.189508683330572,B,X,1
-0.7537361643574896,6.706831117560616,C,X,1
-0.8895144296255233,6.5178571795735305,C,X,1
-0.8158102849654383,5.562382847938752,A,X,1
-0.07710170941410412,5.208402207903752,C,X,1
0.3411519748166435,4.874813744200956,B,Y,1
0.27669079933001905,3.4920708222666477,B,Y,1
0.8271832490360238,4.438649846266452,A,X,1
0.01300189187790702,1.614086371609229,A,X,0
